source_file,fuel_density,coolant_density,radius,particle_times
cf250source.py,14.6,0.45,0.4,"[6.65833044e-08 1.56081760e-07 8.42533432e-07 ... 3.04866359e-05
 3.69594996e-05 3.80382441e-05]"
cf250source.py,14.6,0.45,0.5,"[6.65833044e-08 1.95102200e-07 8.81553872e-07 ... 3.05305705e-05
 3.70034342e-05 3.80821787e-05]"
cf250source.py,14.6,0.45,0.6,"[6.65833044e-08 2.23494624e-07 2.36517545e-07 ... 3.05745052e-05
 3.70473689e-05 3.81261134e-05]"
cf250source.py,14.6,0.45,0.7,"[6.65833044e-08 2.23494624e-07 2.82331168e-07 ... 3.06184398e-05
 3.70913035e-05 3.81700480e-05]"
cf250source.py,14.6,0.45,0.8,"[6.65833044e-08 2.23494624e-07 3.26143076e-07 ... 3.06623745e-05
 3.71352382e-05 3.82139827e-05]"
cf250source.py,14.6,0.45,0.9,"[6.65833044e-08 2.23494624e-07 3.68760623e-07 ... 3.07063091e-05
 3.71791729e-05 3.82579173e-05]"
cf250source.py,14.6,0.45,1.0,"[6.65833044e-08 2.23494624e-07 4.10598860e-07 ... 3.07502438e-05
 3.72231075e-05 3.83018520e-05]"
cf250source.py,14.6,0.55,0.1,"[2.98841638e-08 3.15292905e-07 3.67665724e-07 ... 2.48437597e-05
 3.01397391e-05 3.10223482e-05]"
cf250source.py,14.6,0.55,0.2,"[5.97683277e-08 3.45177069e-07 3.97549888e-07 ... 2.48876943e-05
 3.01836737e-05 3.10662828e-05]"
cf250source.py,14.6,0.55,0.3,"[6.65833044e-08 1.17061320e-07 6.78703597e-07 ... 2.49316290e-05
 3.02276084e-05 3.11102175e-05]"
cf250source.py,14.6,0.55,0.4,"[6.65833044e-08 1.56081760e-07 7.17724037e-07 ... 2.49755636e-05
 3.02715430e-05 3.11541522e-05]"
cf250source.py,14.6,0.55,0.5,"[6.65833044e-08 1.95102200e-07 7.56744477e-07 ... 2.50194983e-05
 3.03154777e-05 3.11980868e-05]"
cf250source.py,14.6,0.55,0.6,"[6.65833044e-08 2.23494624e-07 2.36517545e-07 ... 2.50634330e-05
 3.03594123e-05 3.12420215e-05]"
cf250source.py,14.6,0.55,0.7,"[6.65833044e-08 2.23494624e-07 2.82331168e-07 ... 2.51073676e-05
 3.04033470e-05 3.12859561e-05]"
cf250source.py,14.6,.55,0.8,"[6.65833044e-08 2.23494624e-07 3.26143076e-07 ... 2.51513023e-05
 3.04472817e-05 3.13298908e-05]"
