source_file,fuel_density,coolant_density,radius,particle_times
pu238source.py,19.4,0.45,0.1,"[1.44214652e-08 1.83116808e-07 2.14469922e-07 ... 2.86472792e-05
 3.32061662e-05 3.41049191e-05]"
pu238source.py,19.4,0.45,0.2,"[1.99986928e-08 2.89984341e-08 1.32662557e-07 ... 2.86684151e-05
 3.32273021e-05 3.41260549e-05]"
pu238source.py,19.4,0.45,0.3,"[1.99986928e-08 4.35362367e-08 1.47200360e-07 ... 2.86895509e-05
 3.32484380e-05 3.41471908e-05]"
pu238source.py,19.4,0.45,0.4,"[1.99986928e-08 5.80162592e-08 1.61680383e-07 ... 2.87106868e-05
 3.32695738e-05 3.41683267e-05]"
pu238source.py,19.4,0.45,0.5,"[1.99986928e-08 6.58615567e-08 7.60325100e-08 ... 2.87318226e-05
 3.32907097e-05 3.41894625e-05]"
pu238source.py,19.4,0.45,0.6,"[1.99986928e-08 6.58615567e-08 9.53182622e-08 ... 2.87529585e-05
 3.33118456e-05 3.42105984e-05]"
pu238source.py,19.4,0.45,0.7,"[1.99986928e-08 6.58615567e-08 1.12738162e-07 ... 2.87740944e-05
 3.33329814e-05 3.42317342e-05]"
pu238source.py,19.4,0.45,0.8,"[1.99986928e-08 6.58615567e-08 1.29242577e-07 ... 2.87952302e-05
 3.33541173e-05 3.42528701e-05]"
pu238source.py,19.4,.45,0.9,"[1.99986928e-08 6.58615567e-08 1.35485705e-07 ... 2.88163661e-05
 3.33752531e-05 3.42740060e-05]"
