source_file,fuel_density,coolant_density,radius,particle_times
pu239source.py,19.4,0.45,0.1,"[3.96731119e-08 5.01930800e-07 5.86073725e-07 ... 3.06075551e-05
 3.70805849e-05 3.81593435e-05]"
pu239source.py,19.4,0.45,0.2,"[4.45035438e-08 1.04559863e-07 2.48817623e-06 ... 3.06629415e-05
 3.71359713e-05 3.82147300e-05]"
pu239source.py,19.4,0.45,0.3,"[4.45035438e-08 1.49113906e-07 2.53273027e-06 ... 3.07183279e-05
 3.71913577e-05 3.82701164e-05]"
pu239source.py,19.4,0.45,0.4,"[4.45035438e-08 1.90975816e-07 2.57459218e-06 ... 3.07737144e-05
 3.72467441e-05 3.83255028e-05]"
pu239source.py,19.4,0.45,0.5,"[4.45035438e-08 2.31903191e-07 2.61551956e-06 ... 3.08291008e-05
 3.73021306e-05 3.83808892e-05]"
pu239source.py,19.4,0.45,0.6,"[4.45035438e-08 2.72387487e-07 2.65600386e-06 ... 3.08844872e-05
 3.73575170e-05 3.84362757e-05]"
pu239source.py,19.4,0.45,0.7,"[4.45035438e-08 3.12625201e-07 2.69624157e-06 ... 3.09398736e-05
 3.74129034e-05 3.84916621e-05]"
pu239source.py,19.4,0.45,0.8,"[4.45035438e-08 3.52711127e-07 2.73632750e-06 ... 3.09952601e-05
 3.74682898e-05 3.85470485e-05]"
pu239source.py,19.4,0.45,0.9,"[4.45035438e-08 3.92696829e-07 2.77631320e-06 ... 3.10506465e-05
 3.75236763e-05 3.86024350e-05]"
pu239source.py,19.4,0.45,1.0,"[4.45035438e-08 4.32612825e-07 2.81622919e-06 ... 3.11060329e-05
 3.75790627e-05 3.86578214e-05]"
pu239source.py,19.4,0.55,0.1,"[3.96731119e-08 4.17883948e-07 4.86728159e-07 ... 2.50526153e-05
 3.03487306e-05 3.12313513e-05]"
pu239source.py,19.4,0.55,0.2,"[4.45035438e-08 1.04559863e-07 2.05479144e-06 ... 2.51080017e-05
 3.04041170e-05 3.12867378e-05]"
pu239source.py,19.4,0.55,0.3,"[4.45035438e-08 1.49113906e-07 2.09934548e-06 ... 2.51633882e-05
 3.04595034e-05 3.13421242e-05]"
pu239source.py,19.4,0.55,0.4,"[4.45035438e-08 1.90975816e-07 2.14120739e-06 ... 2.52187746e-05
 3.05148899e-05 3.13975106e-05]"
pu239source.py,19.4,0.55,0.5,"[4.45035438e-08 2.31903191e-07 2.18213477e-06 ... 2.52741610e-05
 3.05702763e-05 3.14528970e-05]"
pu239source.py,19.4,0.55,0.6,"[4.45035438e-08 2.72387487e-07 2.22261906e-06 ... 2.53295475e-05
 3.06256627e-05 3.15082835e-05]"
pu239source.py,19.4,0.55,0.7,"[4.45035438e-08 3.12625201e-07 2.26285677e-06 ... 2.53849339e-05
 3.06810492e-05 3.15636699e-05]"
pu239source.py,19.4,0.55,0.8,"[4.45035438e-08 3.52711127e-07 2.30294270e-06 ... 2.54403203e-05
 3.07364356e-05 3.16190563e-05]"
pu239source.py,19.4,0.55,0.9,"[4.45035438e-08 3.92696829e-07 2.34292840e-06 ... 2.54957067e-05
 3.07918220e-05 3.16744428e-05]"
pu239source.py,19.4,0.55,1.0,"[4.45035438e-08 4.32612825e-07 2.38284440e-06 ... 2.55510932e-05
 3.08472084e-05 3.17298292e-05]"
pu239source.py,19.4,0.65,0.1,"[3.96731119e-08 3.59697666e-07 4.17950460e-07 ... 2.12068878e-05
 2.56882161e-05 2.64350490e-05]"
pu239source.py,19.4,0.65,0.2,"[4.45035438e-08 1.04559863e-07 1.75475581e-06 ... 2.12622742e-05
 2.57436025e-05 2.64904355e-05]"
pu239source.py,19.4,0.65,0.3,"[4.45035438e-08 1.49113906e-07 1.79930985e-06 ... 2.13176606e-05
 2.57989890e-05 2.65458219e-05]"
pu239source.py,19.4,0.65,0.4,"[4.45035438e-08 1.90975816e-07 1.84117176e-06 ... 2.13730471e-05
 2.58543754e-05 2.66012083e-05]"
pu239source.py,19.4,0.65,0.5,"[4.45035438e-08 2.31903191e-07 1.88209914e-06 ... 2.14284335e-05
 2.59097618e-05 2.66565948e-05]"
pu239source.py,19.4,0.65,0.6,"[4.45035438e-08 2.72387487e-07 1.92258343e-06 ... 2.14838199e-05
 2.59651482e-05 2.67119812e-05]"
pu239source.py,19.4,0.65,0.7,"[4.45035438e-08 3.12625201e-07 1.96282115e-06 ... 2.15392064e-05
 2.60205347e-05 2.67673676e-05]"
pu239source.py,19.4,0.65,0.8,"[4.45035438e-08 3.52711127e-07 2.00290707e-06 ... 2.15945928e-05
 2.60759211e-05 2.68227540e-05]"
pu239source.py,19.4,0.65,0.9,"[4.45035438e-08 3.92696829e-07 2.04289278e-06 ... 2.16499792e-05
 2.61313075e-05 2.68781405e-05]"
