Epoch [1/100], Train Loss: 2.317520, Val Loss: 1.664422
Epoch [2/100], Train Loss: 1.628669, Val Loss: 1.176604
Epoch [3/100], Train Loss: 0.985112, Val Loss: 0.824763
Epoch [4/100], Train Loss: 0.799845, Val Loss: 0.725034
Epoch [5/100], Train Loss: 0.704346, Val Loss: 0.702972
Epoch [6/100], Train Loss: 0.690214, Val Loss: 0.690905
Epoch [7/100], Train Loss: 0.683447, Val Loss: 0.682809
Epoch [8/100], Train Loss: 0.676157, Val Loss: 0.674284
Epoch [9/100], Train Loss: 0.676135, Val Loss: 0.671690
Epoch [10/100], Train Loss: 0.667838, Val Loss: 0.660724
Epoch [11/100], Train Loss: 0.667791, Val Loss: 0.655662
Epoch [12/100], Train Loss: 0.659386, Val Loss: 0.647816
Epoch [13/100], Train Loss: 0.657458, Val Loss: 0.645639
Epoch [14/100], Train Loss: 0.654256, Val Loss: 0.640847
Epoch [15/100], Train Loss: 0.647050, Val Loss: 0.635408
Epoch [16/100], Train Loss: 0.646585, Val Loss: 0.632233
Epoch [17/100], Train Loss: 0.645199, Val Loss: 0.629780
Epoch [18/100], Train Loss: 0.637911, Val Loss: 0.624426
Epoch [19/100], Train Loss: 0.641434, Val Loss: 0.622420
Epoch [20/100], Train Loss: 0.636770, Val Loss: 0.619425
Epoch [21/100], Train Loss: 0.637684, Val Loss: 0.618713
Epoch [22/100], Train Loss: 0.634322, Val Loss: 0.614433
Epoch [23/100], Train Loss: 0.632785, Val Loss: 0.609484
Epoch [24/100], Train Loss: 0.627906, Val Loss: 0.609745
Epoch [25/100], Train Loss: 0.630147, Val Loss: 0.607222
Epoch [26/100], Train Loss: 0.624333, Val Loss: 0.603364
Epoch [27/100], Train Loss: 0.630181, Val Loss: 0.606317
Epoch [28/100], Train Loss: 0.628682, Val Loss: 0.599599
Epoch [29/100], Train Loss: 0.619167, Val Loss: 0.596808
Epoch [30/100], Train Loss: 0.616495, Val Loss: 0.592133
Epoch [31/100], Train Loss: 0.618804, Val Loss: 0.590107
Epoch [32/100], Train Loss: 0.612919, Val Loss: 0.589340
Epoch [33/100], Train Loss: 0.612273, Val Loss: 0.586457
Epoch [34/100], Train Loss: 0.608801, Val Loss: 0.587380
Epoch [35/100], Train Loss: 0.606985, Val Loss: 0.581392
Epoch [36/100], Train Loss: 0.604050, Val Loss: 0.579000
Epoch [37/100], Train Loss: 0.606298, Val Loss: 0.573336
Epoch [38/100], Train Loss: 0.603794, Val Loss: 0.573106
Epoch [39/100], Train Loss: 0.601845, Val Loss: 0.571236
Epoch [40/100], Train Loss: 0.600926, Val Loss: 0.569370
Epoch [41/100], Train Loss: 0.601826, Val Loss: 0.564366
Epoch [42/100], Train Loss: 0.596746, Val Loss: 0.566259
Epoch [43/100], Train Loss: 0.597339, Val Loss: 0.565212
Epoch [44/100], Train Loss: 0.601546, Val Loss: 0.567271
Epoch [45/100], Train Loss: 0.601552, Val Loss: 0.563603
Epoch [46/100], Train Loss: 0.590533, Val Loss: 0.563592
Epoch [47/100], Train Loss: 0.601551, Val Loss: 0.563795
Epoch [48/100], Train Loss: 0.597534, Val Loss: 0.562416
Epoch [49/100], Train Loss: 0.590318, Val Loss: 0.560698
Epoch [50/100], Train Loss: 0.594540, Val Loss: 0.559187
Epoch [51/100], Train Loss: 0.591744, Val Loss: 0.557180
Epoch [52/100], Train Loss: 0.585064, Val Loss: 0.556515
Epoch [53/100], Train Loss: 0.597570, Val Loss: 0.560020
Epoch [54/100], Train Loss: 0.595050, Val Loss: 0.560332
Epoch [55/100], Train Loss: 0.586132, Val Loss: 0.558071
Epoch [56/100], Train Loss: 0.590006, Val Loss: 0.557895
Epoch [57/100], Train Loss: 0.592358, Val Loss: 0.555500
Epoch [58/100], Train Loss: 0.588011, Val Loss: 0.557822
Epoch [59/100], Train Loss: 0.590879, Val Loss: 0.554374
Epoch [60/100], Train Loss: 0.586943, Val Loss: 0.556859
Epoch [61/100], Train Loss: 0.583242, Val Loss: 0.554106
Epoch [62/100], Train Loss: 0.583641, Val Loss: 0.550181
Epoch [63/100], Train Loss: 0.580745, Val Loss: 0.551373
Epoch [64/100], Train Loss: 0.581887, Val Loss: 0.550156
Epoch [65/100], Train Loss: 0.585413, Val Loss: 0.555134
Epoch [66/100], Train Loss: 0.592867, Val Loss: 0.558453
Epoch [67/100], Train Loss: 0.585844, Val Loss: 0.552437
Epoch [68/100], Train Loss: 0.583676, Val Loss: 0.559580
Epoch [69/100], Train Loss: 0.580740, Val Loss: 0.552432
Epoch [70/100], Train Loss: 0.580251, Val Loss: 0.552654
Epoch [71/100], Train Loss: 0.578881, Val Loss: 0.550969
Epoch [72/100], Train Loss: 0.585000, Val Loss: 0.554012
Epoch [73/100], Train Loss: 0.582070, Val Loss: 0.551094
Epoch [74/100], Train Loss: 0.585578, Val Loss: 0.549653
Epoch [75/100], Train Loss: 0.578511, Val Loss: 0.549857
Epoch [76/100], Train Loss: 0.580117, Val Loss: 0.550105
Epoch [77/100], Train Loss: 0.583488, Val Loss: 0.550592
Epoch [78/100], Train Loss: 0.584279, Val Loss: 0.552037
Epoch [79/100], Train Loss: 0.579543, Val Loss: 0.554067
Epoch [80/100], Train Loss: 0.594584, Val Loss: 0.552565
Epoch [81/100], Train Loss: 0.588115, Val Loss: 0.552173
Epoch [82/100], Train Loss: 0.585628, Val Loss: 0.550981
Epoch [83/100], Train Loss: 0.595998, Val Loss: 0.549703
Epoch [84/100], Train Loss: 0.576506, Val Loss: 0.549157
Epoch [85/100], Train Loss: 0.586544, Val Loss: 0.548778
Epoch [86/100], Train Loss: 0.588798, Val Loss: 0.549453
Epoch [87/100], Train Loss: 0.582763, Val Loss: 0.550764
Epoch [88/100], Train Loss: 0.579849, Val Loss: 0.550012
Epoch [89/100], Train Loss: 0.587886, Val Loss: 0.552339
Epoch [90/100], Train Loss: 0.580408, Val Loss: 0.548033
Epoch [91/100], Train Loss: 0.584528, Val Loss: 0.549608
Epoch [92/100], Train Loss: 0.580643, Val Loss: 0.551456
Epoch [93/100], Train Loss: 0.577307, Val Loss: 0.549302
Epoch [94/100], Train Loss: 0.589219, Val Loss: 0.549151
Epoch [95/100], Train Loss: 0.579166, Val Loss: 0.549555
Epoch [96/100], Train Loss: 0.577386, Val Loss: 0.549766
Epoch [97/100], Train Loss: 0.580888, Val Loss: 0.550674
Epoch [98/100], Train Loss: 0.579320, Val Loss: 0.548287
Epoch [99/100], Train Loss: 0.578736, Val Loss: 0.550829
Epoch [100/100], Train Loss: 0.579470, Val Loss: 0.548926
Training completed. Logs and model saved in runs/cnn_20250214_072204
