Epoch [1/200], Train Loss: 0.152968, Val Loss: 1.975738
Epoch [30/200], Train Loss: 0.093421, Val Loss: 7897.181741
Epoch [31/200], Train Loss: 0.093159, Val Loss: 378750.845600
Epoch [32/200], Train Loss: 0.092902, Val Loss: 312331.578145
Epoch [33/200], Train Loss: 0.092076, Val Loss: 167940.193528
Epoch [34/200], Train Loss: 0.091860, Val Loss: 1135754.725781
Epoch [35/200], Train Loss: 0.091232, Val Loss: 436997.002731
Epoch [36/200], Train Loss: 0.092341, Val Loss: 777410.873890
Epoch [37/200], Train Loss: 0.091664, Val Loss: 350277.442847
Epoch [38/200], Train Loss: 0.091576, Val Loss: 1410316.814050
Epoch [39/200], Train Loss: 0.090712, Val Loss: 102817.905573
Epoch [40/200], Train Loss: 0.091030, Val Loss: 1177102.751598
Epoch [41/200], Train Loss: 0.090446, Val Loss: 42815.120605
Epoch [42/200], Train Loss: 0.090349, Val Loss: 84372.706781
Epoch [43/200], Train Loss: 0.090120, Val Loss: 2122.050621
Epoch [44/200], Train Loss: 0.090015, Val Loss: 163071.318633
Epoch [45/200], Train Loss: 0.090217, Val Loss: 2844.030460
Epoch [46/200], Train Loss: 0.090399, Val Loss: 272980.871209
Epoch [47/200], Train Loss: 0.089360, Val Loss: 238844.121152
Epoch [48/200], Train Loss: 0.089618, Val Loss: 2093023.087984
Epoch [49/200], Train Loss: 0.089418, Val Loss: 848634.519001
Epoch [50/200], Train Loss: 0.089525, Val Loss: 6352.908317
Epoch [51/200], Train Loss: 0.089545, Val Loss: 30689.298090
Epoch [52/200], Train Loss: 0.089496, Val Loss: 488.673293
Epoch [53/200], Train Loss: 0.090004, Val Loss: 1364044.441589
Epoch [54/200], Train Loss: 0.089768, Val Loss: 459357.241113
Epoch [55/200], Train Loss: 0.089328, Val Loss: 21552.714888
Epoch [56/200], Train Loss: 0.089111, Val Loss: 1166528.530212
Epoch [57/200], Train Loss: 0.089044, Val Loss: 2153.808055
Epoch [58/200], Train Loss: 0.089558, Val Loss: 1860215.619562
Epoch [59/200], Train Loss: 0.089403, Val Loss: 1104160.331179
Epoch [60/200], Train Loss: 0.089342, Val Loss: 1555957.790023
Epoch [61/200], Train Loss: 0.089563, Val Loss: 1103.079599
Epoch [62/200], Train Loss: 0.089551, Val Loss: 1011.486910
Epoch [63/200], Train Loss: 0.089185, Val Loss: 43784.331465
Epoch [64/200], Train Loss: 0.089647, Val Loss: 1153745.680372
Epoch [65/200], Train Loss: 0.089136, Val Loss: 1331490.392563
Epoch [66/200], Train Loss: 0.089617, Val Loss: 60161.867812
Epoch [67/200], Train Loss: 0.088937, Val Loss: 28116.219257
Epoch [68/200], Train Loss: 0.088531, Val Loss: 1392353.294236
Epoch [69/200], Train Loss: 0.090006, Val Loss: 183094.777345
Epoch [70/200], Train Loss: 0.089989, Val Loss: 9429.162938
Epoch [71/200], Train Loss: 0.089518, Val Loss: 869273.092863
Epoch [72/200], Train Loss: 0.089122, Val Loss: 57901.714734
Epoch [73/200], Train Loss: 0.089124, Val Loss: 41619.579884
Epoch [74/200], Train Loss: 0.089254, Val Loss: 1792348.164589
Epoch [75/200], Train Loss: 0.089077, Val Loss: 314571.052277
Epoch [76/200], Train Loss: 0.089560, Val Loss: 806775.163927
Epoch [77/200], Train Loss: 0.089660, Val Loss: 478582.753054
Epoch [78/200], Train Loss: 0.089012, Val Loss: 728637.027026
Epoch [79/200], Train Loss: 0.088883, Val Loss: 659973.564112
Epoch [80/200], Train Loss: 0.089484, Val Loss: 14439.354429
Epoch [81/200], Train Loss: 0.089270, Val Loss: 1208440.054781
Epoch [82/200], Train Loss: 0.089849, Val Loss: 817921.701884
Epoch [83/200], Train Loss: 0.089032, Val Loss: 164717.768045
Epoch [84/200], Train Loss: 0.089239, Val Loss: 2417394.865249
Epoch [85/200], Train Loss: 0.089324, Val Loss: 418261.919832
Epoch [86/200], Train Loss: 0.088846, Val Loss: 204087.067089
Epoch [87/200], Train Loss: 0.089944, Val Loss: 1848412.828398
Epoch [88/200], Train Loss: 0.088904, Val Loss: 3075625.382335
Epoch [89/200], Train Loss: 0.089047, Val Loss: 1113531.458151
Epoch [90/200], Train Loss: 0.088995, Val Loss: 27.263630
Epoch [91/200], Train Loss: 0.088650, Val Loss: 46601.984417
Epoch [92/200], Train Loss: 0.089515, Val Loss: 143897.076013
Epoch [93/200], Train Loss: 0.089250, Val Loss: 1250869.263024
Epoch [94/200], Train Loss: 0.089057, Val Loss: 319.004690
Epoch [95/200], Train Loss: 0.088785, Val Loss: 22989.343127
Epoch [96/200], Train Loss: 0.089451, Val Loss: 235697.535796
Epoch [97/200], Train Loss: 0.089177, Val Loss: 2762198.138188
Epoch [98/200], Train Loss: 0.089755, Val Loss: 713200.921767
Epoch [99/200], Train Loss: 0.089028, Val Loss: 2770.257221
Epoch [100/200], Train Loss: 0.089983, Val Loss: 343520.981004
Epoch [101/200], Train Loss: 0.089028, Val Loss: 46050.598444
Epoch [102/200], Train Loss: 0.089474, Val Loss: 736964.373283
Epoch [103/200], Train Loss: 0.088972, Val Loss: 40780.673143
Epoch [104/200], Train Loss: 0.089288, Val Loss: 702103.157154
Epoch [105/200], Train Loss: 0.088809, Val Loss: 34831.046887
Epoch [106/200], Train Loss: 0.089435, Val Loss: 12547.347920
Epoch [107/200], Train Loss: 0.089372, Val Loss: 996659.732884
Epoch [108/200], Train Loss: 0.089357, Val Loss: 547410.184191
Epoch [109/200], Train Loss: 0.089397, Val Loss: 3717.001309
Epoch [110/200], Train Loss: 0.088768, Val Loss: 1986517.901769
Epoch [111/200], Train Loss: 0.089255, Val Loss: 317206.733312
Epoch [112/200], Train Loss: 0.089891, Val Loss: 486628.941878
Epoch [113/200], Train Loss: 0.089147, Val Loss: 181403.044823
Epoch [114/200], Train Loss: 0.088879, Val Loss: 139630.609433
Epoch [115/200], Train Loss: 0.089118, Val Loss: 864749.860632
