Epoch [1/100], Train Loss: 0.157037, Val Loss: 13.218750
Epoch [2/100], Train Loss: 0.136939, Val Loss: 1.095819
Epoch [3/100], Train Loss: 0.131081, Val Loss: 2.613668
Epoch [4/100], Train Loss: 0.129369, Val Loss: 82.999575
Epoch [5/100], Train Loss: 0.129669, Val Loss: 21.545470
Epoch [6/100], Train Loss: 0.128790, Val Loss: 1.607080
Epoch [7/100], Train Loss: 0.129505, Val Loss: 1.208807
Epoch [8/100], Train Loss: 0.129185, Val Loss: 11.690398
Epoch [9/100], Train Loss: 0.128177, Val Loss: 117.091145
Epoch [10/100], Train Loss: 0.128313, Val Loss: 82.879860
Epoch [11/100], Train Loss: 0.127825, Val Loss: 2.457053
Epoch [12/100], Train Loss: 0.129823, Val Loss: 26.904237
Epoch [13/100], Train Loss: 0.132125, Val Loss: 13.433795
Epoch [14/100], Train Loss: 0.134020, Val Loss: 8.458802
Epoch [15/100], Train Loss: 0.132016, Val Loss: 695.622035
Epoch [16/100], Train Loss: 0.130833, Val Loss: 143.330235
Epoch [17/100], Train Loss: 0.129565, Val Loss: 11.639108
Epoch [18/100], Train Loss: 0.130776, Val Loss: 12.596510
Epoch [19/100], Train Loss: 0.132809, Val Loss: 9.493647
Epoch [20/100], Train Loss: 0.130167, Val Loss: 2.266847
Epoch [21/100], Train Loss: 0.128622, Val Loss: 11.984253
Epoch [22/100], Train Loss: 0.130396, Val Loss: 10.843606
Epoch [23/100], Train Loss: 0.129480, Val Loss: 30.163325
Epoch [24/100], Train Loss: 0.129901, Val Loss: 1.673452
Epoch [25/100], Train Loss: 0.130128, Val Loss: 24.948525
Epoch [26/100], Train Loss: 0.131560, Val Loss: 8.049666
Epoch [27/100], Train Loss: 0.129419, Val Loss: 32.140563
Epoch [28/100], Train Loss: 0.128568, Val Loss: 26.161699
Epoch [29/100], Train Loss: 0.130908, Val Loss: 76.195462
Epoch [30/100], Train Loss: 0.133003, Val Loss: 32.681769
Epoch [31/100], Train Loss: 0.131563, Val Loss: 26.264632
Epoch [32/100], Train Loss: 0.131474, Val Loss: 14.893124
Epoch [33/100], Train Loss: 0.128568, Val Loss: 174.188937
Epoch [34/100], Train Loss: 0.130016, Val Loss: 23.825461
Epoch [35/100], Train Loss: 0.129813, Val Loss: 8.880908
Epoch [36/100], Train Loss: 0.128557, Val Loss: 19.194208
Epoch [37/100], Train Loss: 0.126358, Val Loss: 33.318075
Epoch [38/100], Train Loss: 0.128014, Val Loss: 76.474688
Epoch [39/100], Train Loss: 0.129315, Val Loss: 2.051626
Epoch [40/100], Train Loss: 0.129905, Val Loss: 14.639178
Epoch [41/100], Train Loss: 0.130484, Val Loss: 21.802553
Epoch [42/100], Train Loss: 0.129715, Val Loss: 27.565242
Epoch [43/100], Train Loss: 0.129436, Val Loss: 9.852347
Epoch [44/100], Train Loss: 0.129619, Val Loss: 6.034887
Epoch [45/100], Train Loss: 0.128625, Val Loss: 5.665267
Epoch [46/100], Train Loss: 0.131364, Val Loss: 12.519520
Epoch [47/100], Train Loss: 0.130560, Val Loss: 17.628786
Epoch [48/100], Train Loss: 0.132683, Val Loss: 20.503271
Epoch [49/100], Train Loss: 0.130305, Val Loss: 8.718681
Epoch [50/100], Train Loss: 0.128535, Val Loss: 0.422326
Epoch [51/100], Train Loss: 0.128251, Val Loss: 173.319968
Epoch [52/100], Train Loss: 0.127153, Val Loss: 3.469924
Epoch [53/100], Train Loss: 0.129356, Val Loss: 14.447267
Epoch [54/100], Train Loss: 0.129773, Val Loss: 20.159092
Epoch [55/100], Train Loss: 0.130396, Val Loss: 60.612088
Epoch [56/100], Train Loss: 0.127953, Val Loss: 14.202622
Epoch [57/100], Train Loss: 0.126929, Val Loss: 24.243984
Epoch [58/100], Train Loss: 0.128667, Val Loss: 416.197149
Epoch [59/100], Train Loss: 0.130417, Val Loss: 1.588565
Epoch [60/100], Train Loss: 0.127267, Val Loss: 1.153564
Epoch [61/100], Train Loss: 0.126884, Val Loss: 6.517509
Epoch [62/100], Train Loss: 0.127584, Val Loss: 136.764172
Epoch [63/100], Train Loss: 0.125721, Val Loss: 36.939488
Epoch [64/100], Train Loss: 0.126305, Val Loss: 31.559826
Epoch [65/100], Train Loss: 0.125936, Val Loss: 4.409636
Epoch [66/100], Train Loss: 0.126362, Val Loss: 17.938105
Epoch [67/100], Train Loss: 0.125156, Val Loss: 222.831238
Epoch [68/100], Train Loss: 0.126586, Val Loss: 49.092365
Epoch [69/100], Train Loss: 0.125807, Val Loss: 86.980286
Epoch [70/100], Train Loss: 0.126405, Val Loss: 6.443098
Epoch [71/100], Train Loss: 0.126539, Val Loss: 18.875541
Epoch [72/100], Train Loss: 0.126583, Val Loss: 25.827268
Epoch [73/100], Train Loss: 0.125817, Val Loss: 88.041087
Epoch [74/100], Train Loss: 0.125542, Val Loss: 32.937090
Epoch [75/100], Train Loss: 0.124762, Val Loss: 1.373089
Epoch [76/100], Train Loss: 0.126249, Val Loss: 6.214776
Epoch [77/100], Train Loss: 0.125761, Val Loss: 4.693279
