Epoch [1/100], Train Loss: 16.190999, Val Loss: 16.547695
Epoch [2/100], Train Loss: 15.942131, Val Loss: 16.260704
Epoch [3/100], Train Loss: 15.692292, Val Loss: 16.113149
Epoch [4/100], Train Loss: 15.723034, Val Loss: 16.083385
Epoch [5/100], Train Loss: 15.799596, Val Loss: 16.073858
Epoch [6/100], Train Loss: 15.851247, Val Loss: 16.072133
Epoch [7/100], Train Loss: 15.708963, Val Loss: 16.070281
Epoch [8/100], Train Loss: 15.749473, Val Loss: 16.070596
Epoch [9/100], Train Loss: 15.767802, Val Loss: 16.069968
Epoch [10/100], Train Loss: 15.699652, Val Loss: 16.070997
Epoch [11/100], Train Loss: 15.738867, Val Loss: 16.069113
Epoch [12/100], Train Loss: 15.707615, Val Loss: 16.069201
Epoch [13/100], Train Loss: 15.778235, Val Loss: 16.068618
Epoch [14/100], Train Loss: 15.729617, Val Loss: 16.069138
Epoch [15/100], Train Loss: 15.672709, Val Loss: 16.068714
Epoch [16/100], Train Loss: 15.661178, Val Loss: 16.068220
Epoch [17/100], Train Loss: 15.688436, Val Loss: 16.069160
Epoch [18/100], Train Loss: 15.673049, Val Loss: 16.068252
Epoch [19/100], Train Loss: 15.798826, Val Loss: 16.068753
Epoch [20/100], Train Loss: 15.662116, Val Loss: 16.068008
Epoch [21/100], Train Loss: 15.697559, Val Loss: 16.067987
Epoch [22/100], Train Loss: 15.750652, Val Loss: 16.067942
Epoch [23/100], Train Loss: 15.725909, Val Loss: 16.068565
Epoch [24/100], Train Loss: 15.694934, Val Loss: 16.067898
Epoch [25/100], Train Loss: 15.826252, Val Loss: 16.067914
Epoch [26/100], Train Loss: 15.725454, Val Loss: 16.068273
Epoch [27/100], Train Loss: 15.783530, Val Loss: 16.068241
Epoch [28/100], Train Loss: 15.672050, Val Loss: 16.067972
Epoch [29/100], Train Loss: 15.765948, Val Loss: 16.068069
Epoch [30/100], Train Loss: 15.657319, Val Loss: 16.067919
Epoch [31/100], Train Loss: 15.671258, Val Loss: 16.068113
Epoch [32/100], Train Loss: 15.675217, Val Loss: 16.068077
Epoch [33/100], Train Loss: 15.647638, Val Loss: 16.068066
Epoch [34/100], Train Loss: 15.753645, Val Loss: 16.067943
Epoch [35/100], Train Loss: 15.731205, Val Loss: 16.067890
Epoch [36/100], Train Loss: 15.740089, Val Loss: 16.068334
Epoch [37/100], Train Loss: 15.773017, Val Loss: 16.068033
Epoch [38/100], Train Loss: 15.697336, Val Loss: 16.068093
Epoch [39/100], Train Loss: 15.783182, Val Loss: 16.068166
Epoch [40/100], Train Loss: 15.715118, Val Loss: 16.068030
Epoch [41/100], Train Loss: 15.723057, Val Loss: 16.068187
Epoch [42/100], Train Loss: 15.686529, Val Loss: 16.067973
Epoch [43/100], Train Loss: 15.685845, Val Loss: 16.067937
Epoch [44/100], Train Loss: 15.717182, Val Loss: 16.068018
Epoch [45/100], Train Loss: 15.706017, Val Loss: 16.067933
Epoch [46/100], Train Loss: 15.712413, Val Loss: 16.067980
Epoch [47/100], Train Loss: 15.759067, Val Loss: 16.067892
Epoch [48/100], Train Loss: 15.670786, Val Loss: 16.068048
Epoch [49/100], Train Loss: 15.717001, Val Loss: 16.068048
Epoch [50/100], Train Loss: 15.657711, Val Loss: 16.068058
Epoch [51/100], Train Loss: 15.680742, Val Loss: 16.067932
Epoch [52/100], Train Loss: 15.769916, Val Loss: 16.068040
Epoch [53/100], Train Loss: 15.709048, Val Loss: 16.067945
Epoch [54/100], Train Loss: 15.697659, Val Loss: 16.067950
Epoch [55/100], Train Loss: 15.764182, Val Loss: 16.068001
Epoch [56/100], Train Loss: 15.723000, Val Loss: 16.067975
Epoch [57/100], Train Loss: 15.775873, Val Loss: 16.068042
Epoch [58/100], Train Loss: 15.579619, Val Loss: 16.068067
Epoch [59/100], Train Loss: 15.689272, Val Loss: 16.068022
Epoch [60/100], Train Loss: 15.712246, Val Loss: 16.068045
Epoch [61/100], Train Loss: 15.643276, Val Loss: 16.068020
Epoch [62/100], Train Loss: 15.691072, Val Loss: 16.068056
Epoch [63/100], Train Loss: 15.765585, Val Loss: 16.068079
Epoch [64/100], Train Loss: 15.712763, Val Loss: 16.068159
Epoch [65/100], Train Loss: 15.752636, Val Loss: 16.068145
Epoch [66/100], Train Loss: 15.707398, Val Loss: 16.068051
Epoch [67/100], Train Loss: 15.647996, Val Loss: 16.068089
Epoch [68/100], Train Loss: 15.704657, Val Loss: 16.068030
Epoch [69/100], Train Loss: 15.709814, Val Loss: 16.068017
Epoch [70/100], Train Loss: 15.673114, Val Loss: 16.068029
Epoch [71/100], Train Loss: 15.818835, Val Loss: 16.068037
Epoch [72/100], Train Loss: 15.651881, Val Loss: 16.068127
Epoch [73/100], Train Loss: 15.740642, Val Loss: 16.068065
Epoch [74/100], Train Loss: 15.720240, Val Loss: 16.068053
Epoch [75/100], Train Loss: 15.695931, Val Loss: 16.068018
Epoch [76/100], Train Loss: 15.755163, Val Loss: 16.067965
Epoch [77/100], Train Loss: 15.834515, Val Loss: 16.068053
Epoch [78/100], Train Loss: 15.712933, Val Loss: 16.068168
Epoch [79/100], Train Loss: 15.707601, Val Loss: 16.068037
Epoch [80/100], Train Loss: 15.794907, Val Loss: 16.067998
Epoch [81/100], Train Loss: 15.660077, Val Loss: 16.068001
Epoch [82/100], Train Loss: 15.745008, Val Loss: 16.068002
Epoch [83/100], Train Loss: 15.614970, Val Loss: 16.067976
Epoch [84/100], Train Loss: 15.694685, Val Loss: 16.067956
