Features size
5
5
Epoch [1/100], Train Loss: -93078.933032, Val Loss: -408368.071482
Epoch [2/100], Train Loss: -2052561.905690, Val Loss: -4799630.570838
Epoch [3/100], Train Loss: -11171444.342539, Val Loss: -19324750.070234
Epoch [4/100], Train Loss: -33496581.101157, Val Loss: -51022452.577480
Epoch [5/100], Train Loss: -75755484.694486, Val Loss: -105436505.311037
Epoch [6/100], Train Loss: -145016545.693951, Val Loss: -193988328.362690
Epoch [7/100], Train Loss: -247723196.857382, Val Loss: -310222762.928279
Epoch [8/100], Train Loss: -388764466.133978, Val Loss: -466624386.188034
Epoch [9/100], Train Loss: -576692400.328533, Val Loss: -695132482.782609
Epoch [10/100], Train Loss: -817545932.689399, Val Loss: -956307254.153846
Epoch [11/100], Train Loss: -1117680034.396358, Val Loss: -1290293036.795244
Epoch [12/100], Train Loss: -1486307814.026572, Val Loss: -1714160111.280565
Epoch [13/100], Train Loss: -1926727526.127660, Val Loss: -2150165336.520253
Epoch [14/100], Train Loss: -2447706050.657995, Val Loss: -2744394365.930881
Epoch [15/100], Train Loss: -3053275453.710675, Val Loss: -3265434435.305834
Epoch [16/100], Train Loss: -3751748939.720152, Val Loss: -4070953500.539577
Epoch [17/100], Train Loss: -4552230322.573260, Val Loss: -4947876999.991081
Epoch [18/100], Train Loss: -5454795194.392641, Val Loss: -6073275659.796358
Epoch [19/100], Train Loss: -6471314153.118648, Val Loss: -7121239109.731698
Epoch [20/100], Train Loss: -7615499843.621295, Val Loss: -8194824119.319212
Epoch [21/100], Train Loss: -8869768827.302425, Val Loss: -9419297766.599777
Epoch [22/100], Train Loss: -10241694196.963673, Val Loss: -10993261790.133036
Epoch [23/100], Train Loss: -11766054397.740406, Val Loss: -12592316136.502415
Epoch [24/100], Train Loss: -13419088930.298244, Val Loss: -14595290163.942028
Epoch [25/100], Train Loss: -15226646420.348230, Val Loss: -16104538391.117058
Epoch [26/100], Train Loss: -17197175982.535725, Val Loss: -18072899053.924934
Epoch [27/100], Train Loss: -19313206424.819847, Val Loss: -20395576923.136379
Epoch [28/100], Train Loss: -21621885084.744404, Val Loss: -23167898116.376068
Epoch [29/100], Train Loss: -24093009310.980209, Val Loss: -24937052913.444817
Epoch [30/100], Train Loss: -26747064854.381863, Val Loss: -27859929758.109253
Epoch [31/100], Train Loss: -29579084108.326675, Val Loss: -31490101906.693424
Epoch [32/100], Train Loss: -32625650966.477005, Val Loss: -34165086631.907841
Epoch [33/100], Train Loss: -35865068321.656044, Val Loss: -36843691093.999260
Epoch [34/100], Train Loss: -39297137923.829414, Val Loss: -40348166947.674469
Epoch [35/100], Train Loss: -42922427733.365044, Val Loss: -45074675563.594200
Epoch [36/100], Train Loss: -46823661605.104897, Val Loss: -49288070698.428841
Epoch [37/100], Train Loss: -50927864045.566475, Val Loss: -53588199781.696022
Epoch [38/100], Train Loss: -55296106255.674438, Val Loss: -56544095743.809738
Epoch [39/100], Train Loss: -59877241528.430367, Val Loss: -62209296844.438499
