Features size
5
5
Epoch [1/100], Train Loss: 123.795738, Val Loss: 97.136686
Epoch [2/100], Train Loss: 127.981768, Val Loss: 102.584792
Epoch [3/100], Train Loss: 139.865168, Val Loss: 97.699559
Epoch [4/100], Train Loss: 132.067277, Val Loss: 102.861307
Epoch [5/100], Train Loss: 116.136130, Val Loss: 115.055597
Epoch [6/100], Train Loss: 119.408935, Val Loss: 108.399824
Epoch [7/100], Train Loss: 123.136153, Val Loss: 112.672201
Epoch [8/100], Train Loss: 138.976258, Val Loss: 156.171034
Epoch [9/100], Train Loss: 144.662460, Val Loss: 139.375022
Epoch [10/100], Train Loss: 139.536914, Val Loss: 132.975576
Epoch [11/100], Train Loss: 154.348048, Val Loss: 125.483782
Epoch [12/100], Train Loss: 152.150201, Val Loss: 124.362260
Epoch [13/100], Train Loss: 118.555383, Val Loss: 137.369003
Epoch [14/100], Train Loss: 171.166220, Val Loss: 164.413962
Epoch [15/100], Train Loss: 145.793788, Val Loss: 162.075558
Epoch [16/100], Train Loss: 178.740103, Val Loss: 131.865527
Epoch [17/100], Train Loss: 129.545923, Val Loss: 130.496661
Epoch [18/100], Train Loss: 121.006952, Val Loss: 129.073318
Epoch [19/100], Train Loss: 115.746718, Val Loss: 113.275791
Epoch [20/100], Train Loss: 115.873563, Val Loss: 148.994189
Epoch [21/100], Train Loss: 154.294343, Val Loss: 148.991321
Epoch [22/100], Train Loss: 118.475661, Val Loss: 127.478927
Epoch [23/100], Train Loss: 117.325678, Val Loss: 158.230102
Epoch [24/100], Train Loss: 125.636029, Val Loss: 123.429804
Epoch [25/100], Train Loss: 135.081536, Val Loss: 160.055608
Epoch [26/100], Train Loss: 120.042383, Val Loss: 138.543871
Epoch [27/100], Train Loss: 122.383733, Val Loss: 130.567947
Epoch [28/100], Train Loss: 176.284175, Val Loss: 139.699681
Epoch [29/100], Train Loss: 119.352384, Val Loss: 137.351724
Epoch [30/100], Train Loss: 114.037575, Val Loss: 142.741454
Epoch [31/100], Train Loss: 120.717782, Val Loss: 142.545628
Epoch [32/100], Train Loss: 146.863113, Val Loss: 141.044297
