Epoch [1/100], Train Loss: 0.155870, Val Loss: 1.923556
Epoch [2/100], Train Loss: 0.136459, Val Loss: 1.077613
Epoch [3/100], Train Loss: 0.131962, Val Loss: 0.903576
Epoch [4/100], Train Loss: 0.130812, Val Loss: 297.517379
Epoch [5/100], Train Loss: 0.130620, Val Loss: 31.757522
Epoch [6/100], Train Loss: 0.130203, Val Loss: 6.311604
Epoch [7/100], Train Loss: 0.130378, Val Loss: 36.150099
Epoch [8/100], Train Loss: 0.126172, Val Loss: 1.801620
Epoch [9/100], Train Loss: 0.126305, Val Loss: 0.525667
Epoch [10/100], Train Loss: 0.127033, Val Loss: 3.232373
Epoch [11/100], Train Loss: 0.128203, Val Loss: 2.686539
Epoch [12/100], Train Loss: 0.128340, Val Loss: 5.717452
Epoch [13/100], Train Loss: 0.128921, Val Loss: 10.632773
Epoch [14/100], Train Loss: 0.127570, Val Loss: 8.154397
Epoch [15/100], Train Loss: 0.126236, Val Loss: 1.653305
Epoch [16/100], Train Loss: 0.126037, Val Loss: 6.903417
Epoch [17/100], Train Loss: 0.124824, Val Loss: 1.584077
Epoch [18/100], Train Loss: 0.124773, Val Loss: 256.209577
Epoch [19/100], Train Loss: 0.125418, Val Loss: 103.304323
Epoch [20/100], Train Loss: 0.125861, Val Loss: 10.258622
Epoch [21/100], Train Loss: 0.126711, Val Loss: 26.010148
Epoch [22/100], Train Loss: 0.124700, Val Loss: 13.581841
Epoch [23/100], Train Loss: 0.125575, Val Loss: 2.484262
Epoch [24/100], Train Loss: 0.122976, Val Loss: 4.842181
Epoch [25/100], Train Loss: 0.124156, Val Loss: 13.944773
Epoch [26/100], Train Loss: 0.124894, Val Loss: 49.782170
Epoch [27/100], Train Loss: 0.127610, Val Loss: 5.123407
Epoch [28/100], Train Loss: 0.128159, Val Loss: 0.762745
Epoch [29/100], Train Loss: 0.128050, Val Loss: 11.019984
Epoch [30/100], Train Loss: 0.126138, Val Loss: 18.350150
Epoch [31/100], Train Loss: 0.125695, Val Loss: 7.651247
