Epoch [1/100], Train Loss: 2.612069, Val Loss: 1.743333
Epoch [2/100], Train Loss: 1.792417, Val Loss: 1.283291
Epoch [3/100], Train Loss: 1.122887, Val Loss: 0.882559
Epoch [4/100], Train Loss: 0.828886, Val Loss: 0.757316
Epoch [5/100], Train Loss: 0.715020, Val Loss: 0.728151
Epoch [6/100], Train Loss: 0.701016, Val Loss: 0.709379
Epoch [7/100], Train Loss: 0.684172, Val Loss: 0.680512
Epoch [8/100], Train Loss: 0.679853, Val Loss: 0.675754
Epoch [9/100], Train Loss: 0.669097, Val Loss: 0.667787
Epoch [10/100], Train Loss: 0.667758, Val Loss: 0.658720
Epoch [11/100], Train Loss: 0.668480, Val Loss: 0.656884
Epoch [12/100], Train Loss: 0.660879, Val Loss: 0.656146
Epoch [13/100], Train Loss: 0.664497, Val Loss: 0.652776
Epoch [14/100], Train Loss: 0.657447, Val Loss: 0.649881
Epoch [15/100], Train Loss: 0.654003, Val Loss: 0.642438
Epoch [16/100], Train Loss: 0.648990, Val Loss: 0.638525
Epoch [17/100], Train Loss: 0.649529, Val Loss: 0.636537
Epoch [18/100], Train Loss: 0.646905, Val Loss: 0.634996
Epoch [19/100], Train Loss: 0.640874, Val Loss: 0.631744
Epoch [20/100], Train Loss: 0.636551, Val Loss: 0.624513
Epoch [21/100], Train Loss: 0.638449, Val Loss: 0.617762
Epoch [22/100], Train Loss: 0.631216, Val Loss: 0.614292
Epoch [23/100], Train Loss: 0.629921, Val Loss: 0.613567
Epoch [24/100], Train Loss: 0.622935, Val Loss: 0.607842
Epoch [25/100], Train Loss: 0.623356, Val Loss: 0.606054
Epoch [26/100], Train Loss: 0.626742, Val Loss: 0.599443
Epoch [27/100], Train Loss: 0.622175, Val Loss: 0.595800
Epoch [28/100], Train Loss: 0.643319, Val Loss: 0.593441
Epoch [29/100], Train Loss: 0.613374, Val Loss: 0.593213
Epoch [30/100], Train Loss: 0.618824, Val Loss: 0.594163
Epoch [31/100], Train Loss: 0.642911, Val Loss: 0.589851
Epoch [32/100], Train Loss: 0.613568, Val Loss: 0.586537
Epoch [33/100], Train Loss: 0.610747, Val Loss: 0.588602
Epoch [34/100], Train Loss: 0.613730, Val Loss: 0.587337
Epoch [35/100], Train Loss: 0.612408, Val Loss: 0.594021
Epoch [36/100], Train Loss: 0.606443, Val Loss: 0.585658
Epoch [37/100], Train Loss: 0.604812, Val Loss: 0.578030
Epoch [38/100], Train Loss: 0.604902, Val Loss: 0.582271
Epoch [39/100], Train Loss: 0.616772, Val Loss: 0.580394
Epoch [40/100], Train Loss: 0.602737, Val Loss: 0.577727
Epoch [41/100], Train Loss: 0.601252, Val Loss: 0.579591
Epoch [42/100], Train Loss: 0.600901, Val Loss: 0.574491
Epoch [43/100], Train Loss: 0.595689, Val Loss: 0.571849
Epoch [44/100], Train Loss: 0.599683, Val Loss: 0.573898
Epoch [45/100], Train Loss: 0.596467, Val Loss: 0.572792
Epoch [46/100], Train Loss: 0.603491, Val Loss: 0.572588
Epoch [47/100], Train Loss: 0.591165, Val Loss: 0.569319
Epoch [48/100], Train Loss: 0.597293, Val Loss: 0.573022
Epoch [49/100], Train Loss: 0.615124, Val Loss: 0.570060
Epoch [50/100], Train Loss: 0.597698, Val Loss: 0.568316
Epoch [51/100], Train Loss: 0.606502, Val Loss: 0.565422
Epoch [52/100], Train Loss: 0.589637, Val Loss: 0.569416
Epoch [53/100], Train Loss: 0.588544, Val Loss: 0.565248
Epoch [54/100], Train Loss: 0.591852, Val Loss: 0.573394
Epoch [55/100], Train Loss: 0.585670, Val Loss: 0.565649
Epoch [56/100], Train Loss: 0.639387, Val Loss: 0.573044
Epoch [57/100], Train Loss: 0.591190, Val Loss: 0.568544
Epoch [58/100], Train Loss: 0.594624, Val Loss: 0.564599
Epoch [59/100], Train Loss: 0.589897, Val Loss: 0.567105
Epoch [60/100], Train Loss: 0.592943, Val Loss: 0.563810
Epoch [61/100], Train Loss: 0.592606, Val Loss: 0.566469
Epoch [62/100], Train Loss: 0.578007, Val Loss: 0.563390
Epoch [63/100], Train Loss: 0.584483, Val Loss: 0.565224
Epoch [64/100], Train Loss: 0.591569, Val Loss: 0.563905
Epoch [65/100], Train Loss: 0.588920, Val Loss: 0.563923
Epoch [66/100], Train Loss: 0.584739, Val Loss: 0.559881
Epoch [67/100], Train Loss: 0.588465, Val Loss: 0.563952
Epoch [68/100], Train Loss: 0.700432, Val Loss: 0.562366
Epoch [69/100], Train Loss: 0.583234, Val Loss: 0.562941
Epoch [70/100], Train Loss: 0.583852, Val Loss: 0.566345
Epoch [71/100], Train Loss: 0.588466, Val Loss: 0.560831
Epoch [72/100], Train Loss: 0.640287, Val Loss: 0.558913
Epoch [73/100], Train Loss: 0.578573, Val Loss: 0.558521
Epoch [74/100], Train Loss: 0.585827, Val Loss: 0.561534
Epoch [75/100], Train Loss: 0.593950, Val Loss: 0.558638
Epoch [76/100], Train Loss: 0.586180, Val Loss: 0.559806
Epoch [77/100], Train Loss: 0.580253, Val Loss: 0.557624
Epoch [78/100], Train Loss: 0.579376, Val Loss: 0.555850
Epoch [79/100], Train Loss: 0.587127, Val Loss: 0.556934
Epoch [80/100], Train Loss: 0.590320, Val Loss: 0.557750
Epoch [81/100], Train Loss: 0.579072, Val Loss: 0.559911
Epoch [82/100], Train Loss: 0.585982, Val Loss: 0.560154
Epoch [83/100], Train Loss: 0.577860, Val Loss: 0.559446
Epoch [84/100], Train Loss: 0.588762, Val Loss: 0.561811
Epoch [85/100], Train Loss: 0.585563, Val Loss: 0.557250
Epoch [86/100], Train Loss: 0.575226, Val Loss: 0.556364
Epoch [87/100], Train Loss: 0.584487, Val Loss: 0.560879
Epoch [88/100], Train Loss: 0.577771, Val Loss: 0.556922
Epoch [89/100], Train Loss: 0.576405, Val Loss: 0.554993
Epoch [90/100], Train Loss: 0.579392, Val Loss: 0.557751
Epoch [91/100], Train Loss: 0.584147, Val Loss: 0.555951
Epoch [92/100], Train Loss: 0.580730, Val Loss: 0.554985
Epoch [93/100], Train Loss: 0.594404, Val Loss: 0.555030
Epoch [94/100], Train Loss: 0.587044, Val Loss: 0.557914
Epoch [95/100], Train Loss: 0.577857, Val Loss: 0.554689
Epoch [96/100], Train Loss: 0.573734, Val Loss: 0.554136
Epoch [97/100], Train Loss: 0.579162, Val Loss: 0.553782
Epoch [98/100], Train Loss: 0.586474, Val Loss: 0.558285
Epoch [99/100], Train Loss: 0.607106, Val Loss: 0.562907
Epoch [100/100], Train Loss: 0.578020, Val Loss: 0.555322
Training completed. Logs and model saved in runs/cnn_20250214_072929
