source_file,fuel_density,coolant_density,radius,particle_times
pu238source.py,19.4,0.45,0.1,"[1.44214652e-08 1.83116808e-07 2.14469922e-07 ... 2.86472792e-05
 3.32061662e-05 3.41049191e-05]"
pu238source.py,19.4,0.45,0.2,"[1.99986928e-08 2.89984341e-08 1.32662557e-07 ... 2.86684151e-05
 3.32273021e-05 3.41260549e-05]"
pu238source.py,19.4,0.45,0.3,"[1.99986928e-08 4.35362367e-08 1.47200360e-07 ... 2.86895509e-05
 3.32484380e-05 3.41471908e-05]"
pu238source.py,19.4,0.45,0.4,"[1.99986928e-08 5.80162592e-08 1.61680383e-07 ... 2.87106868e-05
 3.32695738e-05 3.41683267e-05]"
pu238source.py,19.4,0.45,0.5,"[1.99986928e-08 6.58615567e-08 7.60325100e-08 ... 2.87318226e-05
 3.32907097e-05 3.41894625e-05]"
pu238source.py,19.4,0.45,0.6,"[1.99986928e-08 6.58615567e-08 9.53182622e-08 ... 2.87529585e-05
 3.33118456e-05 3.42105984e-05]"
pu238source.py,19.4,0.45,0.7,"[1.99986928e-08 6.58615567e-08 1.12738162e-07 ... 2.87740944e-05
 3.33329814e-05 3.42317342e-05]"
pu238source.py,19.4,0.45,0.8,"[1.99986928e-08 6.58615567e-08 1.29242577e-07 ... 2.87952302e-05
 3.33541173e-05 3.42528701e-05]"
pu238source.py,19.4,0.45,0.9,"[1.99986928e-08 6.58615567e-08 1.35485705e-07 ... 2.88163661e-05
 3.33752531e-05 3.42740060e-05]"
pu238source.py,19.4,0.45,1.0,"[1.99986928e-08 6.58615567e-08 1.35485705e-07 ... 2.88375020e-05
 3.33963890e-05 3.42951418e-05]"
pu238source.py,19.4,0.55,0.1,"[1.44214652e-08 1.52444927e-07 1.78097475e-07 ... 2.34425259e-05
 2.71725244e-05 2.79078676e-05]"
pu238source.py,19.4,0.55,0.2,"[1.99986928e-08 2.89984341e-08 1.13814535e-07 ... 2.34636617e-05
 2.71936602e-05 2.79290034e-05]"
pu238source.py,19.4,0.55,0.3,"[1.99986928e-08 4.35362367e-08 1.28352338e-07 ... 2.34847976e-05
 2.72147961e-05 2.79501393e-05]"
pu238source.py,19.4,0.55,0.4,"[1.99986928e-08 5.80162592e-08 1.42832360e-07 ... 2.35059334e-05
 2.72359319e-05 2.79712752e-05]"
pu238source.py,19.4,0.55,0.5,"[1.99986928e-08 6.58615567e-08 7.60325100e-08 ... 2.35270693e-05
 2.72570678e-05 2.79924110e-05]"
pu238source.py,19.4,0.55,0.6,"[1.99986928e-08 6.58615567e-08 9.53182622e-08 ... 2.35482052e-05
 2.72782037e-05 2.80135469e-05]"
pu238source.py,19.4,0.55,0.7,"[1.99986928e-08 6.58615567e-08 1.12738162e-07 ... 2.35693410e-05
 2.72993395e-05 2.80346828e-05]"
pu238source.py,19.4,0.55,0.8,"[1.99986928e-08 6.58615567e-08 1.29242577e-07 ... 2.35904769e-05
 2.73204754e-05 2.80558186e-05]"
pu238source.py,19.4,0.55,0.9,"[1.99986928e-08 6.58615567e-08 1.35485705e-07 ... 2.36116128e-05
 2.73416113e-05 2.80769545e-05]"
pu238source.py,19.4,0.55,1.0,"[1.99986928e-08 6.58615567e-08 1.35485705e-07 ... 2.36327486e-05
 2.73627471e-05 2.80980903e-05]"
pu238source.py,19.4,0.65,0.1,"[1.44214652e-08 1.31210548e-07 1.52916551e-07 ... 1.98392351e-05
 2.29953877e-05 2.36176012e-05]"
pu238source.py,19.4,0.65,0.2,"[1.99986928e-08 2.89984341e-08 1.00765904e-07 ... 1.98603710e-05
 2.30165235e-05 2.36387370e-05]"
pu238source.py,19.4,0.65,0.3,"[1.99986928e-08 4.35362367e-08 1.15303707e-07 ... 1.98815068e-05
 2.30376594e-05 2.36598729e-05]"
pu238source.py,19.4,0.65,0.4,"[1.99986928e-08 5.80162592e-08 1.29783729e-07 ... 1.99026427e-05
 2.30587952e-05 2.36810087e-05]"
pu238source.py,19.4,0.65,0.5,"[1.99986928e-08 6.58615567e-08 7.60325100e-08 ... 1.99237785e-05
 2.30799311e-05 2.37021446e-05]"
pu238source.py,19.4,0.65,0.6,"[1.99986928e-08 6.58615567e-08 9.53182622e-08 ... 1.99449144e-05
 2.31010670e-05 2.37232805e-05]"
pu238source.py,19.4,0.65,0.7,"[1.99986928e-08 6.58615567e-08 1.12738162e-07 ... 1.99660503e-05
 2.31222028e-05 2.37444163e-05]"
pu238source.py,19.4,0.65,0.8,"[1.99986928e-08 6.58615567e-08 1.29242577e-07 ... 1.99871861e-05
 2.31433387e-05 2.37655522e-05]"
pu238source.py,19.4,0.65,0.9,"[1.99986928e-08 6.58615567e-08 1.35485705e-07 ... 2.00083220e-05
 2.31644746e-05 2.37866881e-05]"
pu238source.py,19.4,0.65,1.0,"[1.99986928e-08 6.58615567e-08 1.35485705e-07 ... 2.00294579e-05
 2.31856104e-05 2.38078239e-05]"
pu238source.py,19.4,0.75,0.1,"[1.44214652e-08 1.15638671e-07 1.34450539e-07 ... 1.71968219e-05
 1.99321541e-05 2.04714058e-05]"
pu238source.py,19.4,0.75,0.2,"[1.99986928e-08 2.89984341e-08 9.11969081e-08 ... 1.72179577e-05
 1.99532900e-05 2.04925416e-05]"
