source_file,fuel_density,coolant_density,radius,particle_times
pu240source.py,19.0,0.45,0.1,"[4.19530048e-08 3.92903203e-08 7.30451591e-07 ... 3.06867080e-05
 3.71597844e-05 3.82385471e-05]"
pu240source.py,19.0,0.45,0.2,"[4.19530048e-08 7.85806405e-08 7.69741911e-07 ... 3.07454655e-05
 3.72185420e-05 3.82973047e-05]"
pu240source.py,19.0,0.45,0.3,"[4.19530048e-08 1.17870961e-07 8.09032232e-07 ... 8.48162038e-09
 4.64213266e-08 1.29476952e-07]"
pu240source.py,19.0,0.45,0.4,"[4.19530048e-08 1.34116852e-07 1.61655893e-07 ... 8.48162038e-09
 4.64213266e-08 1.29476952e-07]"
pu240source.py,19.0,0.45,0.5,"[4.19530048e-08 1.34116852e-07 2.05753702e-07 ... 8.48162038e-09
 4.64213266e-08 1.29476952e-07]"
pu240source.py,19.0,0.45,0.6,"[4.19530048e-08 1.34116852e-07 2.48088091e-07 ... 8.48162038e-09
 4.64213266e-08 1.29476952e-07]"
pu240source.py,19.0,0.45,0.7,"[4.19530048e-08 1.34116852e-07 2.89508671e-07 ... 8.48162038e-09
 4.64213266e-08 1.29476952e-07]"
pu240source.py,19.0,0.45,0.8,"[4.19530048e-08 1.34116852e-07 3.30388084e-07 ... 8.48162038e-09
 4.64213266e-08 1.29476952e-07]"
pu240source.py,19.0,0.45,0.9,"[4.19530048e-08 1.34116852e-07 3.70918511e-07 ... 8.48162038e-09
 4.64213266e-08 1.29476952e-07]"
pu240source.py,19.0,0.45,1.0,"[4.19530048e-08 1.34116852e-07 4.11209976e-07 ... 8.48162038e-09
 4.64213266e-08 1.29476952e-07]"
pu240source.py,19.0,0.55,0.1,"[4.19530048e-08 3.92903203e-08 6.04785906e-07 ... 2.51179897e-05
 3.04141432e-05 3.12967672e-05]"
pu240source.py,19.0,0.55,0.2,"[4.19530048e-08 7.85806405e-08 6.44076226e-07 ... 2.51767473e-05
 3.04729008e-05 3.13555248e-05]"
pu240source.py,19.0,0.55,0.3,"[4.19530048e-08 1.17870961e-07 6.83366546e-07 ... 8.48162038e-09
 4.64213266e-08 1.29476952e-07]"
